time,temp,salt,PHQ_CO_Fe_di
2015-10-04 25:00:00,   14.607479,    0.000114,    6.948271
2015-10-05 25:00:00,   14.304502,    0.000114,    6.948271
2015-10-06 25:00:00,   14.214103,    0.000114,    6.948271
2015-10-07 25:00:00,   14.260706,    0.000114,    6.948271
2015-10-08 25:00:00,   14.319940,    0.000114,    6.948271
2015-10-09 25:00:00,   14.366387,    0.000114,    6.948271
2015-10-10 25:00:00,   14.395097,    0.000114,    6.948271
2015-10-11 25:00:00,   14.445571,    0.000114,    6.948271
2015-10-12 25:00:00,   14.494457,    0.000114,    6.948271
2015-10-13 25:00:00,   14.540740,    0.000114,    6.948271
2015-10-14 25:00:00,   14.585332,    0.000114,    6.948271
2015-10-15 25:00:00,   14.627002,    0.000114,    6.948271
2015-10-16 25:00:00,   14.363319,    0.000118,    6.918672
2015-10-17 25:00:00,   13.559683,    0.000118,    6.918672
2015-10-18 25:00:00,   12.627241,    0.000118,    6.918672
2015-10-19 25:00:00,   12.071954,    0.000118,    6.918672
2015-10-20 25:00:00,   11.684349,    0.000118,    6.918672
2015-10-21 25:00:00,   11.594683,    0.000118,    6.918672
2015-10-22 25:00:00,   11.683620,    0.000118,    6.918672
2015-10-23 25:00:00,   11.820429,    0.000118,    6.918672
2015-10-24 25:00:00,   11.935641,    0.000118,    6.918672
2015-10-25 25:00:00,   12.038702,    0.000118,    6.918672
2015-10-26 25:00:00,   12.139713,    0.000118,    6.918672
2015-10-27 25:00:00,   11.725926,    0.000128,    6.825412
2015-10-28 25:00:00,   11.764843,    0.000134,    6.772742
2015-10-29 25:00:00,   11.853864,    0.000137,    6.739604
2015-10-30 25:00:00,   11.384780,    0.000138,    6.739604
2015-10-31 25:00:00,   11.075833,    0.000138,    6.739604
2015-11-01 25:00:00,   11.084900,    0.000138,    6.739604
2015-11-02 25:00:00,   11.189143,    0.000138,    6.739604
2015-11-03 25:00:00,   11.316530,    0.000138,    6.739604
2015-11-04 25:00:00,   11.439657,    0.000138,    6.739604
2015-11-05 25:00:00,   11.569253,    0.000138,    6.739604
2015-11-06 25:00:00,   11.688840,    0.000138,    6.739604
2015-11-07 25:00:00,   11.781483,    0.000138,    6.739604
2015-11-08 25:00:00,   11.705502,    0.000139,    6.729116
2015-11-09 25:00:00,   11.086299,    0.000148,    6.641566
2015-11-10 25:00:00,   11.084986,    0.000149,    6.631301
2015-11-11 25:00:00,   10.940954,    0.000149,    6.631301
2015-11-12 25:00:00,   10.949372,    0.000149,    6.631301
2015-11-13 25:00:00,   10.270362,    0.000149,    6.631301
2015-11-14 25:00:00,    9.504922,    0.000149,    6.631301
2015-11-15 25:00:00,    9.072465,    0.000149,    6.631301
2015-11-16 25:00:00,    8.780039,    0.000150,    6.631301
2015-11-17 25:00:00,    8.832829,    0.000150,    6.631301
2015-11-18 25:00:00,    8.925613,    0.000150,    6.630658
2015-11-19 25:00:00,    9.101490,    0.000150,    6.630642
2015-11-20 25:00:00,    8.649644,    0.000158,    6.541697
2015-11-21 25:00:00,    8.194654,    0.000159,    6.541697
2015-11-22 25:00:00,  
